treebank,relation,layer,head,timestep,normalized_progress,visibility,accuracy_mean,accuracy_std,n_instances,n_seeds
UD_English-EWT,object_adj_to_noun,0,3,0,0.0,both_masked,0.7624999999999998,0.0,480,3
UD_English-EWT,object_adj_to_noun,0,3,8,0.125,attender_visible_only,0.8525641025641025,0.13090114010680856,33,3
UD_English-EWT,object_adj_to_noun,0,3,8,0.125,both_masked,0.753239307418874,0.014571576168226637,401,3
UD_English-EWT,object_adj_to_noun,0,3,8,0.125,both_visible,0.8333333333333334,,6,1
UD_English-EWT,object_adj_to_noun,0,3,8,0.125,receiver_visible_only,0.7626262626262627,0.25095471209706754,40,3
UD_English-EWT,object_adj_to_noun,0,3,16,0.25,attender_visible_only,0.7866437866437866,0.09105763593448836,60,3
UD_English-EWT,object_adj_to_noun,0,3,16,0.25,both_masked,0.7441471317611829,0.031737692322474635,330,3
UD_English-EWT,object_adj_to_noun,0,3,16,0.25,both_visible,0.6470588235294118,0.5611407067158504,20,3
UD_English-EWT,object_adj_to_noun,0,3,16,0.25,receiver_visible_only,0.7665728580362727,0.015416709457885884,70,3
UD_English-EWT,object_adj_to_noun,0,3,24,0.375,attender_visible_only,0.7944444444444444,0.041943524640393096,70,3
UD_English-EWT,object_adj_to_noun,0,3,24,0.375,both_masked,0.7312143265600414,0.022655695697910396,255,3
UD_English-EWT,object_adj_to_noun,0,3,24,0.375,both_visible,0.7186507936507937,0.05429841817378626,53,3
UD_English-EWT,object_adj_to_noun,0,3,24,0.375,receiver_visible_only,0.8202721088435374,0.08771269343891794,102,3
UD_English-EWT,object_adj_to_noun,0,3,32,0.5,attender_visible_only,0.7941160372194854,0.05272932710952114,87,3
UD_English-EWT,object_adj_to_noun,0,3,32,0.5,both_masked,0.7084641073074072,0.028037519251061658,194,3
UD_English-EWT,object_adj_to_noun,0,3,32,0.5,both_visible,0.7538054695562435,0.06483565002293676,84,3
UD_English-EWT,object_adj_to_noun,0,3,32,0.5,receiver_visible_only,0.8240944240944241,0.08578012260384983,115,3
