treebank,relation,layer,head,timestep,normalized_progress,visibility,accuracy_mean,accuracy_std,n_instances,n_seeds
UD_English-EWT,object_adj_to_noun,17,15,0,0.0,both_masked,0.03125,0.0,480,3
UD_English-EWT,object_adj_to_noun,17,15,8,0.125,attender_visible_only,0.03508771929824561,0.06077371254627639,50,3
UD_English-EWT,object_adj_to_noun,17,15,8,0.125,both_masked,0.01851829216535099,0.012153260038145448,376,3
UD_English-EWT,object_adj_to_noun,17,15,8,0.125,both_visible,0.0,0.0,4,2
UD_English-EWT,object_adj_to_noun,17,15,8,0.125,receiver_visible_only,0.017543859649122806,0.030386856273138196,50,3
UD_English-EWT,object_adj_to_noun,17,15,16,0.25,attender_visible_only,0.032974910394265235,0.03333911384726447,105,3
UD_English-EWT,object_adj_to_noun,17,15,16,0.25,both_masked,0.02581414519152957,0.016509224415922643,245,3
UD_English-EWT,object_adj_to_noun,17,15,16,0.25,both_visible,0.037037037037037035,0.06415002990995841,34,3
UD_English-EWT,object_adj_to_noun,17,15,16,0.25,receiver_visible_only,0.012820512820512822,0.022205779584216375,96,3
UD_English-EWT,object_adj_to_noun,17,15,24,0.375,attender_visible_only,0.02121212121212121,0.018432613728176422,108,3
UD_English-EWT,object_adj_to_noun,17,15,24,0.375,both_masked,0.019572158365261813,0.011977521562822684,219,3
UD_English-EWT,object_adj_to_noun,17,15,24,0.375,both_visible,0.015151515151515152,0.0262431940540739,46,3
UD_English-EWT,object_adj_to_noun,17,15,24,0.375,receiver_visible_only,0.011904761904761904,0.020619652471058063,107,3
UD_English-EWT,object_adj_to_noun,17,15,32,0.5,attender_visible_only,0.03463203463203463,0.011402222676247555,144,3
UD_English-EWT,object_adj_to_noun,17,15,32,0.5,both_masked,0.01574074074074074,0.01370245239532291,121,3
UD_English-EWT,object_adj_to_noun,17,15,32,0.5,both_visible,0.008771929824561403,0.015193428136569098,90,3
UD_English-EWT,object_adj_to_noun,17,15,32,0.5,receiver_visible_only,0.031345871682006136,0.008666799411825755,125,3
UD_English-EWT,object_adj_to_noun,17,15,39,0.625,attender_visible_only,0.04267632687025671,0.007622128603930096,144,3
UD_English-EWT,object_adj_to_noun,17,15,39,0.625,both_masked,0.017105263157894738,0.01482819430208506,110,3
UD_English-EWT,object_adj_to_noun,17,15,39,0.625,both_visible,0.019437877593905962,0.018586855340514304,102,3
UD_English-EWT,object_adj_to_noun,17,15,39,0.625,receiver_visible_only,0.03141170998313855,0.0082144103091604,124,3
UD_English-EWT,object_adj_to_noun,17,15,47,0.75,attender_visible_only,0.03493788819875776,0.02629455624514922,148,3
UD_English-EWT,object_adj_to_noun,17,15,47,0.75,both_masked,0.010101010101010102,0.017495462702715934,53,3
UD_English-EWT,object_adj_to_noun,17,15,47,0.75,both_visible,0.025498359167714008,0.01084686064984593,172,3
UD_English-EWT,object_adj_to_noun,17,15,47,0.75,receiver_visible_only,0.022068511198945984,0.02174661507278533,107,3
UD_English-EWT,object_adj_to_noun,17,15,55,0.875,attender_visible_only,0.024346580737558177,0.026535902561672438,106,3
UD_English-EWT,object_adj_to_noun,17,15,55,0.875,both_masked,0.025641025641025644,0.04441155916843275,24,3
UD_English-EWT,object_adj_to_noun,17,15,55,0.875,both_visible,0.03154495777446597,0.027382177312885853,266,3
UD_English-EWT,object_adj_to_noun,17,15,55,0.875,receiver_visible_only,0.013888888888888888,0.024056261216234408,84,3
UD_English-EWT,object_adj_to_noun,17,15,63,1.0,both_visible,0.05000000000000001,0.0,480,3
UD_English-EWT,object_det_to_noun,17,15,0,0.0,both_masked,0.017793594306049824,0.0,843,3
UD_English-EWT,object_det_to_noun,17,15,8,0.125,attender_visible_only,0.01948051948051948,0.018077157022175397,94,3
UD_English-EWT,object_det_to_noun,17,15,8,0.125,both_masked,0.007715184354758345,0.009227631844180597,651,3
UD_English-EWT,object_det_to_noun,17,15,8,0.125,both_visible,0.0,0.0,7,2
UD_English-EWT,object_det_to_noun,17,15,8,0.125,receiver_visible_only,0.0,0.0,91,3
UD_English-EWT,object_det_to_noun,17,15,16,0.25,attender_visible_only,0.007662835249042145,0.013272419981370707,237,3
UD_English-EWT,object_det_to_noun,17,15,16,0.25,both_masked,0.0032051282051282055,0.005551444896054094,357,3
UD_English-EWT,object_det_to_noun,17,15,16,0.25,both_visible,0.008771929824561403,0.015193428136569098,79,3
UD_English-EWT,object_det_to_noun,17,15,16,0.25,receiver_visible_only,0.02365163572060124,0.026143921981368057,170,3
UD_English-EWT,object_det_to_noun,17,15,24,0.375,attender_visible_only,0.007326007326007327,0.012689016905266502,239,3
UD_English-EWT,object_det_to_noun,17,15,24,0.375,both_masked,0.006323877068557919,0.0055965865726525284,312,3
UD_English-EWT,object_det_to_noun,17,15,24,0.375,both_visible,0.007936507936507936,0.013746434980705375,110,3
UD_English-EWT,object_det_to_noun,17,15,24,0.375,receiver_visible_only,0.022428997141640816,0.010651245573343173,182,3
UD_English-EWT,object_det_to_noun,17,15,32,0.5,attender_visible_only,0.03328294512505039,0.020387364015462244,274,3
UD_English-EWT,object_det_to_noun,17,15,32,0.5,both_masked,0.01872217858078031,0.0163099343344341,164,3
UD_English-EWT,object_det_to_noun,17,15,32,0.5,both_visible,0.03824679657738472,0.012515600990763433,224,3
UD_English-EWT,object_det_to_noun,17,15,32,0.5,receiver_visible_only,0.02803790412486065,0.01092829231379061,181,3
UD_English-EWT,object_det_to_noun,17,15,39,0.625,attender_visible_only,0.04927145382553352,0.030770062123244256,269,3
UD_English-EWT,object_det_to_noun,17,15,39,0.625,both_masked,0.01947405828002843,0.016877155354593026,149,3
UD_English-EWT,object_det_to_noun,17,15,39,0.625,both_visible,0.03978431175011633,0.011955389005680392,251,3
UD_English-EWT,object_det_to_noun,17,15,39,0.625,receiver_visible_only,0.03878161639355669,0.02076168772182349,174,3
UD_English-EWT,object_det_to_noun,17,15,47,0.75,attender_visible_only,0.05043794304717131,0.026691222615351638,246,3
UD_English-EWT,object_det_to_noun,17,15,47,0.75,both_masked,0.049999999999999996,0.044095855184409845,66,3
UD_English-EWT,object_det_to_noun,17,15,47,0.75,both_visible,0.054461815608312425,0.011346481835146308,378,3
UD_English-EWT,object_det_to_noun,17,15,47,0.75,receiver_visible_only,0.03224610822831727,0.03558384291773755,153,3
UD_English-EWT,object_det_to_noun,17,15,55,0.875,attender_visible_only,0.08659952141147897,0.027146635965676902,182,3
UD_English-EWT,object_det_to_noun,17,15,55,0.875,both_masked,0.0,0.0,23,3
UD_English-EWT,object_det_to_noun,17,15,55,0.875,both_visible,0.0691464945608592,0.015216262791678937,529,3
UD_English-EWT,object_det_to_noun,17,15,55,0.875,receiver_visible_only,0.026580459770114945,0.03227965795784622,109,3
UD_English-EWT,object_det_to_noun,17,15,63,1.0,both_visible,0.10676156583629894,0.0,843,3
UD_English-EWT,object_to_verb,17,15,0,0.0,both_masked,0.3398601398601399,0.0,2145,3
UD_English-EWT,object_to_verb,17,15,8,0.125,attender_visible_only,0.16872852233676974,0.033215855474756584,223,3
UD_English-EWT,object_to_verb,17,15,8,0.125,both_masked,0.20283045050183934,0.010345260602450702,1627,3
UD_English-EWT,object_to_verb,17,15,8,0.125,both_visible,0.4444444444444444,0.09622504486493766,23,3
UD_English-EWT,object_to_verb,17,15,8,0.125,receiver_visible_only,0.5128205128205128,0.046225016352102445,272,3
UD_English-EWT,object_to_verb,17,15,16,0.25,attender_visible_only,0.10636982065553495,0.016957009526495256,394,3
UD_English-EWT,object_to_verb,17,15,16,0.25,both_masked,0.12837463367277346,0.009096579275929028,912,3
UD_English-EWT,object_to_verb,17,15,16,0.25,both_visible,0.26232298109051455,0.13575474544899763,251,3
UD_English-EWT,object_to_verb,17,15,16,0.25,receiver_visible_only,0.30464544298900126,0.0529990152723153,588,3
UD_English-EWT,object_to_verb,17,15,24,0.375,attender_visible_only,0.10215173851537489,0.009742181459018038,419,3
UD_English-EWT,object_to_verb,17,15,24,0.375,both_masked,0.12381099501826087,0.02122179269121311,800,3
UD_English-EWT,object_to_verb,17,15,24,0.375,both_visible,0.24387969529813502,0.09015835425103808,309,3
UD_English-EWT,object_to_verb,17,15,24,0.375,receiver_visible_only,0.2960060982685791,0.039764814447736926,617,3
UD_English-EWT,object_to_verb,17,15,32,0.5,attender_visible_only,0.06726453634572956,0.02662230917365627,416,3
UD_English-EWT,object_to_verb,17,15,32,0.5,both_masked,0.10960425757821807,0.02808584401223796,424,3
UD_English-EWT,object_to_verb,17,15,32,0.5,both_visible,0.24329838829598618,0.0006707913018320923,625,3
UD_English-EWT,object_to_verb,17,15,32,0.5,receiver_visible_only,0.2516374588043121,0.040532831636531735,680,3
UD_English-EWT,object_to_verb,17,15,39,0.625,attender_visible_only,0.08370720188902007,0.02750733460540139,405,3
UD_English-EWT,object_to_verb,17,15,39,0.625,both_masked,0.10984299516908212,0.02293819757680481,388,3
UD_English-EWT,object_to_verb,17,15,39,0.625,both_visible,0.22248624072744674,0.01604931870722939,688,3
UD_English-EWT,object_to_verb,17,15,39,0.625,receiver_visible_only,0.2506301238444096,0.038969575480951105,664,3
UD_English-EWT,object_to_verb,17,15,47,0.75,attender_visible_only,0.0914984355578415,0.028641741035061983,339,3
UD_English-EWT,object_to_verb,17,15,47,0.75,both_masked,0.14011470811697027,0.019707855553376112,207,3
UD_English-EWT,object_to_verb,17,15,47,0.75,both_visible,0.21132762150276743,0.016355175851119577,1021,3
UD_English-EWT,object_to_verb,17,15,47,0.75,receiver_visible_only,0.20612930003173904,0.08732319017559163,578,3
UD_English-EWT,object_to_verb,17,15,55,0.875,attender_visible_only,0.1248497185413558,0.035745174265778154,245,3
UD_English-EWT,object_to_verb,17,15,55,0.875,both_masked,0.12511255892790932,0.01999469255702606,74,3
UD_English-EWT,object_to_verb,17,15,55,0.875,both_visible,0.20396483998647066,0.01632334146052904,1384,3
UD_English-EWT,object_to_verb,17,15,55,0.875,receiver_visible_only,0.1800836320191159,0.04752012814876288,442,3
UD_English-EWT,object_to_verb,17,15,63,1.0,both_visible,0.22937062937062938,0.0,2145,3
UD_English-EWT,subject_adj_to_noun,17,15,0,0.0,both_masked,0.041666666666666664,0.0,288,3
UD_English-EWT,subject_adj_to_noun,17,15,8,0.125,attender_visible_only,0.13555555555555557,0.08441519961432259,41,3
UD_English-EWT,subject_adj_to_noun,17,15,8,0.125,both_masked,0.020029239766081872,0.01806428394278184,219,3
UD_English-EWT,subject_adj_to_noun,17,15,8,0.125,both_visible,0.0,,3,1
UD_English-EWT,subject_adj_to_noun,17,15,8,0.125,receiver_visible_only,0.12424242424242422,0.13797033257978436,25,3
UD_English-EWT,subject_adj_to_noun,17,15,16,0.25,attender_visible_only,0.08663003663003661,0.05730201138524924,88,3
UD_English-EWT,subject_adj_to_noun,17,15,16,0.25,both_masked,0.0,0.0,120,3
UD_English-EWT,subject_adj_to_noun,17,15,16,0.25,both_visible,0.17521367521367523,0.1673228371833495,37,3
UD_English-EWT,subject_adj_to_noun,17,15,16,0.25,receiver_visible_only,0.04524886877828055,0.040218074286495875,43,3
UD_English-EWT,subject_adj_to_noun,17,15,24,0.375,attender_visible_only,0.09327913279132789,0.0656838789713861,90,3
UD_English-EWT,subject_adj_to_noun,17,15,24,0.375,both_masked,0.007407407407407408,0.012830005981991684,103,3
UD_English-EWT,subject_adj_to_noun,17,15,24,0.375,both_visible,0.11604938271604938,0.10379184966411704,44,3
UD_English-EWT,subject_adj_to_noun,17,15,24,0.375,receiver_visible_only,0.0423076923076923,0.03903419832727777,51,3
