seed,treebank,relation,layer,head,visibility,accuracy,n_instances
42,UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,0.25,4
42,UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,0.0,9
42,UD_Japanese-GSD,object_to_verb,17,15,both_masked,0.009966777408637873,301
42,UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,0.09090909090909091,11
42,UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,0.0,17
42,UD_Japanese-GSD,subject_to_verb,17,15,both_masked,0.0051813471502590676,386
43,UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,0.25,4
43,UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,0.0,9
43,UD_Japanese-GSD,object_to_verb,17,15,both_masked,0.009966777408637873,301
43,UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,0.09090909090909091,11
43,UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,0.0,17
43,UD_Japanese-GSD,subject_to_verb,17,15,both_masked,0.0051813471502590676,386
44,UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,0.25,4
44,UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,0.0,9
44,UD_Japanese-GSD,object_to_verb,17,15,both_masked,0.009966777408637873,301
44,UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,0.09090909090909091,11
44,UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,0.0,17
44,UD_Japanese-GSD,subject_to_verb,17,15,both_masked,0.0051813471502590676,386
