layer,head,entropy,entropy_norm,entropy_no_sink,sink_mass,n_sentences,diffusion_time
0,0,2.452098726630211,0.8476197081804275,2.531386614739895,0.24300079011358322,400,63
0,1,0.30709519955329595,0.09825631279498338,0.3754595013987273,0.06852036832366139,400,63
0,2,2.5784944796562197,0.8958218812942504,2.5418658497929574,0.12635182466823608,400,63
0,3,0.3454275391995907,0.1237478494271636,0.3091597767546773,0.06318284801905975,400,63
0,4,2.3745556050539016,0.8263262994587421,2.3499980384111403,0.1452734222728759,400,63
0,5,0.5198040163516998,0.17516191989183427,0.5007345940452069,0.1530958510376513,400,63
0,6,2.52261844843626,0.8753146633505822,2.522163473069668,0.18960282612591983,400,63
0,7,1.892558066546917,0.6622011414170266,1.9006638605892658,0.12814976383466273,400,63
0,8,2.5335813167691232,0.878562582731247,2.500668005645275,0.11839179649949073,400,63
0,9,2.674686370790005,0.9273840396106243,2.6783656039834023,0.17462283562868833,400,63
0,10,2.000279092788696,0.6831242560595274,1.9202629868686198,0.0908813012135215,400,63
0,11,2.5546423023939133,0.8912188149988651,2.481058981716633,0.08967944762669504,400,63
1,0,0.9527984175086022,0.3397002524882555,0.9815672731399536,0.07229492661688709,400,63
1,1,0.7225392006337643,0.25837249398231504,0.747529106810689,0.10218384393490851,400,63
1,2,2.0859305416047573,0.7159334007650614,2.4426208940148353,0.3179611950553954,400,63
1,3,2.530062004327774,0.8799093407392502,2.492833828628063,0.05650900812703185,400,63
1,4,1.9576254174113275,0.6870124791562557,1.9200549998879433,0.021212951396009885,400,63
1,5,2.0831336636841296,0.7197412962466478,2.0853726308047773,0.09249552879249677,400,63
1,6,2.0693500980734827,0.7160670516639948,2.097625162303448,0.171006711544469,400,63
1,7,2.4735196366906167,0.8567648015916347,2.4840567991137505,0.186883347928524,400,63
1,8,2.540259416997433,0.8802271331846714,2.5049601861834527,0.05255495039862581,400,63
1,9,2.4956755301356317,0.8629389600455761,2.470287947356701,0.15369304646970705,400,63
1,10,2.273068231344223,0.8017146352678537,2.4767803770303725,0.2578574656858109,400,63
1,11,0.5055100219184533,0.1705010266019963,0.5319347346760332,0.08520610634004697,400,63
2,0,1.2785472825169564,0.4480609458684921,1.2824209780991078,0.10660153402975993,400,63
2,1,0.418253067843616,0.13703105250373482,1.8813391218334437,0.8805823192000389,400,63
2,2,0.1874817148409784,0.07114972961135209,0.18165884041693062,0.0031766326167735315,400,63
2,3,0.5993984063714742,0.2083507460914552,0.7139611927419901,0.1384948922181502,400,63
2,4,0.9278025244921446,0.32315609775483606,1.0473222344368696,0.0633276380575262,400,63
2,5,0.10729499873181339,0.03836343946895795,0.16864751783199608,0.12178232657257468,400,63
2,6,1.5255406400561333,0.5285897173732519,1.7062448000907897,0.15878142973873766,400,63
2,7,1.7945699537545443,0.6041236206516624,1.8637706862390042,0.08522809636313468,400,63
2,8,0.8145765959471464,0.2827740465849638,0.9277934351563454,0.1565033298265189,400,63
2,9,1.0623545154929162,0.3690295347943902,1.2212943576276303,0.15600712317973375,400,63
2,10,0.6891144684003666,0.23351955143385567,0.7929179608076811,0.06493682037573308,400,63
2,11,0.7295559627190232,0.2456374458782375,2.210857690572739,0.8139904332906007,400,63
3,0,0.870146503970027,0.30040503468364477,0.8067437840998173,0.30715704078786077,400,63
3,1,1.2343685335665942,0.4185896522179246,1.5945755843818188,0.515213166764006,400,63
3,2,0.19614873949438333,0.07362603520974517,0.19272693729959428,0.06294975603319472,400,63
3,3,0.334362440854311,0.11708703709766269,0.8417615469545126,0.862048537582159,400,63
3,4,1.3435195398330688,0.4500255077332258,2.1519911048561333,0.6248651185631752,400,63
3,5,0.5061834091320634,0.16465291847474872,2.1298478097468614,0.8614484571665525,400,63
3,6,1.01215786524117,0.3540138791501522,1.0158986422419547,0.3468838261719793,400,63
3,7,0.5759233171120286,0.19934208128601313,0.906594741716981,0.6962568575702608,400,63
3,8,0.8747897583246231,0.2994023897871375,0.9997131861746311,0.4585224329587072,400,63
3,9,0.6062899911776185,0.20298073360696434,1.1911779759824277,0.714621234536171,400,63
3,10,1.482635769918561,0.5063520384207368,1.7156272332370281,0.29770192207419316,400,63
3,11,0.9202990894019604,0.31202831149101257,1.265097026526928,0.5041590364743024,400,63
4,0,0.4141707827150822,0.14089242096059024,1.0307596775889396,0.8392434003949165,400,63
4,1,1.1027628856152296,0.38075139082968235,1.1504275916516782,0.3747593929152936,400,63
4,2,0.7808121954277157,0.2591959290392697,2.18481719866395,0.8067493589967489,400,63
4,3,0.508743562400341,0.16735466996207835,1.3958654250204563,0.8144918019324541,400,63
4,4,0.7882722386717796,0.27889328248798845,0.5276083352789283,0.3816563710011542,400,63
4,5,0.5313095500692725,0.18034508772194385,1.1827372144162656,0.8110642272233963,400,63
4,6,0.6022630304843187,0.19725572211667897,2.0281774608790872,0.8378378384560347,400,63
4,7,1.3225760930776596,0.46490578263998034,1.178913158774376,0.30250202510505914,400,63
4,8,0.8549699746072292,0.28642985435202717,2.0849046011269095,0.7765996252000332,400,63
4,9,0.3681326449662447,0.12278043939732015,1.6027280743420125,0.8846004702150821,400,63
4,10,0.5126249331235886,0.16990080840885638,2.070659912079573,0.8692607587575912,400,63
4,11,0.15841387454420328,0.06108786331722513,0.15198747775517404,0.056100863185955634,400,63
5,0,0.7590938450396061,0.27199745319783686,0.6625837452709675,0.07403447849297663,400,63
5,1,0.5139709674194455,0.18326484167948365,0.25841815561056136,0.3442622686829418,400,63
5,2,0.43230800453573465,0.14079761770553886,1.4864978118240832,0.8582647325098515,400,63
5,3,1.2420146832615138,0.4122037072852254,1.743895835876465,0.5580970236286521,400,63
5,4,0.5428599228337407,0.17869360689073802,1.225558828562498,0.8099175681173801,400,63
5,5,0.8284082204848527,0.29504393562674525,0.6180200319737196,0.40501656105741857,400,63
