relation,state,accuracy_mean,accuracy_std,n_instances,n_seeds
object_adj_to_noun,masked,0.04161997730560393,0.022646137231222694,673,3
object_adj_to_noun,unmasked,0.5886228430357242,0.033287210663811365,3675,3
object_det_to_noun,masked,0.3949685856883942,0.018019840148130774,1033,3
object_det_to_noun,unmasked,0.6874621382053467,0.02926794830301707,6079,3
object_to_verb,masked,0.26330833409596194,0.017253351194200697,2513,3
object_to_verb,unmasked,0.7154770043799971,0.010269273376746343,17189,3
subject_adj_to_noun,masked,0.04826315376774093,0.012192074795997923,316,3
subject_adj_to_noun,unmasked,0.6337247553282773,0.09894299804648175,2677,3
subject_det_to_noun,masked,0.40077466039645043,0.024724289514818195,630,3
subject_det_to_noun,unmasked,0.6939497041191132,0.04148746825422539,5878,3
subject_to_verb,masked,0.1513380523738824,0.004574138320328298,2913,3
subject_to_verb,unmasked,0.4401101636167198,0.007250268834481463,22230,3
