relation,layer,head,accuracy_select,n_correct_select,n_total_select,accuracy_test,n_correct_test,n_total_test,accuracy_dev,n_correct_dev,n_total_dev
object_to_verb,0,0,0.022893772893772892,100,4368,0.014883720930232559,16,1075,0.018518518518518517,20,1080
object_to_verb,0,1,0.19276556776556777,842,4368,0.19162790697674417,206,1075,0.1925925925925926,208,1080
object_to_verb,0,2,0.018543956043956044,81,4368,0.01581395348837209,17,1075,0.013888888888888888,15,1080
object_to_verb,0,3,0.22321428571428573,975,4368,0.25302325581395346,272,1075,0.22685185185185186,245,1080
object_to_verb,0,4,0.030677655677655676,134,4368,0.03627906976744186,39,1075,0.03148148148148148,34,1080
object_to_verb,0,5,0.18887362637362637,825,4368,0.15255813953488373,164,1075,0.18703703703703703,202,1080
object_to_verb,0,6,0.3301282051282051,1442,4368,0.35348837209302325,380,1075,0.3212962962962963,347,1080
object_to_verb,0,7,0.46222527472527475,2019,4368,0.47069767441860466,506,1075,0.44722222222222224,483,1080
object_to_verb,0,8,0.027930402930402932,122,4368,0.03162790697674418,34,1075,0.01574074074074074,17,1080
object_to_verb,0,9,0.0086996336996337,38,4368,0.009302325581395349,10,1075,0.011111111111111112,12,1080
object_to_verb,0,10,0.09478021978021978,414,4368,0.09767441860465116,105,1075,0.07037037037037037,76,1080
object_to_verb,0,11,0.3076923076923077,1344,4368,0.32372093023255816,348,1075,0.31851851851851853,344,1080
object_to_verb,0,12,0.4397893772893773,1921,4368,0.44465116279069766,478,1075,0.4537037037037037,490,1080
object_to_verb,0,13,0.15178571428571427,663,4368,0.15441860465116278,166,1075,0.1361111111111111,147,1080
object_to_verb,0,14,0.04899267399267399,214,4368,0.037209302325581395,40,1075,0.044444444444444446,48,1080
object_to_verb,0,15,0.1652930402930403,722,4368,0.18046511627906978,194,1075,0.16018518518518518,173,1080
object_to_verb,0,16,0.35233516483516486,1539,4368,0.3395348837209302,365,1075,0.33611111111111114,363,1080
object_to_verb,0,17,0.026556776556776556,116,4368,0.025116279069767444,27,1075,0.026851851851851852,29,1080
object_to_verb,0,18,0.07348901098901099,321,4368,0.061395348837209304,66,1075,0.07777777777777778,84,1080
object_to_verb,0,19,0.06593406593406594,288,4368,0.07255813953488371,78,1075,0.05462962962962963,59,1080
object_to_verb,0,20,0.06547619047619048,286,4368,0.06511627906976744,70,1075,0.06111111111111111,66,1080
object_to_verb,0,21,0.2216117216117216,968,4368,0.22604651162790698,243,1075,0.21296296296296297,230,1080
object_to_verb,0,22,0.007097069597069597,31,4368,0.011162790697674419,12,1075,0.011111111111111112,12,1080
object_to_verb,0,23,0.50503663003663,2206,4368,0.4846511627906977,521,1075,0.475,513,1080
object_to_verb,0,24,0.48626373626373626,2124,4368,0.46511627906976744,500,1075,0.45740740740740743,494,1080
object_to_verb,0,25,0.07188644688644688,314,4368,0.07162790697674419,77,1075,0.07314814814814814,79,1080
object_to_verb,0,26,0.5057234432234432,2209,4368,0.4790697674418605,515,1075,0.4787037037037037,517,1080
object_to_verb,0,27,0.06524725274725275,285,4368,0.07627906976744186,82,1075,0.0712962962962963,77,1080
object_to_verb,1,0,0.15407509157509158,673,4368,0.14790697674418604,159,1075,0.14814814814814814,160,1080
object_to_verb,1,1,0.061813186813186816,270,4368,0.07906976744186046,85,1075,0.04351851851851852,47,1080
object_to_verb,1,2,0.06021062271062271,263,4368,0.06976744186046512,75,1075,0.06666666666666667,72,1080
object_to_verb,1,3,0.4965659340659341,2169,4368,0.4613953488372093,496,1075,0.4675925925925926,505,1080
object_to_verb,1,4,0.057005494505494504,249,4368,0.05023255813953489,54,1075,0.05462962962962963,59,1080
object_to_verb,1,5,0.05952380952380952,260,4368,0.0641860465116279,69,1075,0.06574074074074074,71,1080
object_to_verb,1,6,0.0022893772893772895,10,4368,0.004651162790697674,5,1075,0.003703703703703704,4,1080
object_to_verb,1,7,0.11355311355311355,496,4368,0.13116279069767442,141,1075,0.11944444444444445,129,1080
